state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
Uttar Pradesh,Chandauli,61.0,45.9,67.9,6.11,0.78,31.4,Clayey,16.1,69.8,53.6,1.71,151.4,3.51,Onion
Maharashtra,Beed,47.3,49.2,46.5,6.23,0.72,30.8,Black Cotton,24.5,68.4,62.0,2.35,189.45,3.04,Tobacco
Bihar,Bhojpur,30.7,77.6,38.1,6.31,0.73,18.9,Laterite,28.0,42.0,55.9,3.22,189.28,4.5,Soybean
Rajasthan,Rajsamand,71.4,45.2,43.9,6.56,0.33,37.6,Sandy,26.3,83.6,245.1,2.59,208.25,5.31,Rice
Rajasthan,Churu,26.6,72.9,40.8,6.96,0.61,12.5,Sandy,20.8,27.7,31.7,1.07,189.61,3.9,Bengal Gram
Bihar,Kishanganj,84.0,41.1,38.8,6.02,0.6,36.6,Loamy,25.9,81.4,268.4,3.25,180.36,5.48,Rice
West Bengal,Darjeeling,100.1,58.5,47.5,7.08,0.72,38.1,Black Cotton,25.7,84.6,168.3,3.06,199.72,5.18,Sugarcane
Maharashtra,Solapur,109.7,80.5,47.2,6.65,0.75,34.8,Clayey,28.6,77.3,94.6,5.22,271.96,7.6,Banana
Karnataka,Mysuru,52.0,42.1,36.9,5.58,0.73,26.1,Clayey,26.5,57.9,67.3,1.59,170.39,3.94,Tobacco
Tamil Nadu,Virudhunagar,43.8,33.3,37.8,6.09,0.52,27.0,Black Cotton,26.4,60.0,84.5,1.25,179.6,3.08,Tobacco
West Bengal,Purba Medinipur,53.2,58.6,50.8,6.69,0.4,27.3,Silty,24.1,60.6,60.8,1.19,159.18,3.18,Tomato
Bihar,Rohtas,64.8,41.4,65.2,6.6,0.68,26.5,Red Soil,19.1,58.8,43.4,2.11,181.57,3.98,Onion
Punjab,SBS Nagar,113.3,58.9,42.5,6.14,0.55,36.7,Laterite,25.7,81.5,219.3,2.72,187.06,5.06,Sugarcane
Uttar Pradesh,Saharanpur,29.8,70.2,32.5,6.72,0.39,21.6,Loamy,27.5,48.1,64.4,2.91,201.66,5.28,Toor
Tamil Nadu,Tiruchirappalli,27.9,64.7,22.5,6.26,0.66,26.8,Clayey,27.2,59.5,48.1,5.11,208.44,5.6,Moong
Tamil Nadu,Chennai,66.4,58.1,42.8,7.01,0.44,20.2,Silty,27.0,45.0,56.1,5.84,242.02,6.29,Sunflower
Bihar,Purnia,14.0,27.2,16.6,6.34,0.31,14.9,Sandy,25.5,33.1,38.9,3.29,185.12,4.13,Bajra
Tamil Nadu,Thoothukudi,45.7,69.0,39.4,6.57,0.7,24.3,Clayey,17.6,54.0,79.8,1.98,182.51,2.69,Wheat
Andhra Pradesh,Nandyal,11.8,39.0,18.9,5.94,0.66,14.2,Loamy,32.9,31.5,51.7,3.42,209.16,5.44,Ragi
Karnataka,Raichur,42.6,77.5,38.3,6.22,0.38,21.7,Silty,26.1,48.3,69.9,3.32,207.86,4.32,Soybean
Rajasthan,Jaipur,104.3,54.7,54.1,6.42,0.39,36.3,Clayey,25.3,80.7,219.1,3.09,214.33,5.98,Sugarcane
Maharashtra,Satara,64.8,49.7,43.5,6.24,0.64,37.5,Laterite,25.1,83.3,180.3,2.91,192.05,5.07,Rice
Maharashtra,Beed,79.7,43.4,42.1,5.59,0.37,37.5,Black Cotton,25.4,83.3,210.2,4.93,193.58,4.32,Rice
Rajasthan,Rajsamand,45.5,78.5,40.7,6.9,0.59,30.6,Black Cotton,26.0,68.0,57.0,3.45,218.24,4.89,Soybean
Uttar Pradesh,Raebareli,64.7,41.5,21.1,5.79,0.4,25.2,Loamy,18.3,56.0,81.8,4.31,204.76,5.55,Maize
Andhra Pradesh,Chittoor,58.0,41.9,48.3,5.56,0.41,27.1,Silty,26.5,60.2,82.4,1.45,181.38,2.97,Tobacco
Karnataka,Davanagere,66.9,55.6,22.2,5.69,0.7,25.2,Clayey,25.1,56.0,96.8,4.05,185.37,4.6,Maize
Tamil Nadu,Kancheepuram,49.8,38.5,42.0,6.39,0.79,29.7,Clayey,22.2,65.9,82.7,1.88,187.92,3.82,Tobacco
Karnataka,Bengaluru Rural,25.5,58.4,30.0,6.9,0.72,31.6,Sandy,25.6,70.2,48.6,3.66,189.86,5.58,Urad
Maharashtra,Buldhana,42.9,60.1,42.5,6.74,0.58,30.6,Red Soil,17.8,68.1,79.6,2.41,182.33,3.31,Wheat
Uttar Pradesh,Etawah,37.6,65.2,43.1,6.08,0.6,28.0,Black Cotton,15.7,62.3,63.8,1.18,174.06,3.23,Wheat
Maharashtra,Dhule,33.1,68.9,35.5,7.43,0.45,17.1,Silty,23.4,38.1,54.4,1.18,180.27,3.86,Bengal Gram
Bihar,Gaya,31.4,47.8,44.8,6.73,0.78,20.5,Sandy,27.8,45.5,82.8,4.42,186.54,5.29,Groundnut
Tamil Nadu,Erode,115.9,63.9,49.7,7.42,0.78,38.4,Red Soil,25.6,85.3,161.4,3.92,187.68,4.83,Sugarcane
Telangana,Kamareddy,23.3,15.7,30.3,6.39,0.7,41.1,Silty,25.8,91.4,142.9,3.51,261.99,8.36,Coconut
Andhra Pradesh,Anantapur,52.0,43.7,67.0,6.14,0.41,22.6,Clayey,22.1,50.2,56.2,2.36,160.75,3.7,Onion
Maharashtra,Nandurbar,67.7,47.8,22.3,5.9,0.37,30.1,Loamy,26.2,66.8,83.4,3.41,180.58,5.3,Maize
Maharashtra,Mumbai,48.0,68.4,41.8,6.14,0.62,23.1,Sandy,21.2,51.4,40.3,1.36,154.92,3.42,Wheat
West Bengal,Bankura,39.3,18.4,25.3,6.1,0.31,40.6,Black Cotton,25.3,90.2,208.3,5.45,269.7,8.36,Coconut
Andhra Pradesh,Guntur,19.9,59.0,29.1,6.36,0.61,29.5,Clayey,31.8,65.6,72.2,5.19,186.77,4.55,Urad
Punjab,Gurdaspur,26.2,50.7,26.3,6.89,0.67,27.1,Loamy,26.1,60.3,50.6,3.74,192.85,5.34,Moong
Punjab,Ludhiana,40.3,60.5,37.1,6.39,0.49,21.4,Loamy,24.2,47.6,50.6,5.44,185.98,5.8,Soybean
Bihar,Patna,136.0,54.4,22.6,7.01,0.8,36.0,Laterite,29.0,80.0,107.3,4.16,214.46,4.41,Cotton
West Bengal,Darjeeling,38.5,71.2,40.2,7.04,0.33,10.7,Red Soil,18.3,23.7,39.0,1.95,183.57,2.85,Bengal Gram
Maharashtra,Raigad,35.4,62.1,43.7,6.36,0.56,24.9,Red Soil,15.1,55.3,50.3,1.47,184.29,3.53,Wheat
Bihar,Sheikhpura,65.6,58.9,35.7,6.47,0.57,39.4,Silty,21.5,87.5,248.4,2.63,190.41,4.81,Rice
West Bengal,Kalimpong,76.0,55.8,21.4,6.45,0.74,29.5,Laterite,23.9,65.5,96.1,4.68,202.53,4.84,Maize
West Bengal,Howrah,118.3,66.5,49.8,6.57,0.53,40.3,Loamy,25.0,89.6,194.1,2.86,210.84,5.45,Sugarcane
Uttar Pradesh,Kanpur Dehat,22.3,57.7,26.5,6.59,0.71,29.4,Silty,29.7,65.4,41.6,4.66,214.15,5.83,Urad
Uttar Pradesh,Aligarh,26.6,54.7,30.0,6.29,0.36,27.0,Black Cotton,25.5,59.9,70.4,3.91,184.49,5.44,Urad
Punjab,Bathinda,15.8,39.2,22.7,6.23,0.37,9.6,Black Cotton,32.9,21.4,38.1,3.42,215.66,4.75,Ragi
Maharashtra,Mumbai Suburban,137.3,47.2,25.4,6.23,0.69,32.9,Laterite,26.9,73.0,80.0,4.0,199.93,5.54,Cotton
Bihar,Lakhisarai,57.8,47.6,65.9,6.61,0.72,28.8,Red Soil,21.3,64.0,48.7,1.23,182.84,3.72,Onion
Andhra Pradesh,West Godavari,41.7,62.1,25.8,6.98,0.43,26.6,Silty,25.1,59.1,66.1,4.14,212.05,5.81,Toor
Karnataka,Dakshina Kannada,55.2,52.9,67.3,6.12,0.67,28.8,Sandy,18.5,64.1,42.1,1.54,170.13,3.0,Onion
Andhra Pradesh,Prakasam,91.3,62.1,50.8,6.24,0.31,39.6,Loamy,27.7,88.0,202.1,5.35,212.6,5.7,Sugarcane
Maharashtra,Washim,93.6,82.8,49.6,6.37,0.62,36.8,Loamy,26.6,81.7,115.0,4.76,237.83,7.62,Banana
West Bengal,Kolkata,36.7,57.0,44.4,6.3,0.69,28.9,Red Soil,29.5,64.3,71.8,5.52,265.04,7.6,Mirchi
West Bengal,Nadia,117.5,69.8,52.2,6.61,0.52,36.9,Laterite,31.0,82.1,215.7,2.77,183.7,5.48,Sugarcane
Bihar,Nalanda,23.9,50.8,28.7,6.82,0.56,21.5,Sandy,13.9,47.8,35.6,2.09,160.14,3.62,Mustard
