state,district,N,P,K,pH,organic_carbon,soil_moisture,soil_type,temperature_c,humidity_pct,rainfall_mm,wind_speed_ms,solar_radiation_wm2,evapotranspiration_mm,crop
Uttar Pradesh,Chandauli,213.9,3.3,114.2,6.38,0.96,30.1,Clayey,24.0,46,217.6,0.99,463.7,3.94,Onion
Maharashtra,Beed,165.0,26.1,165.4,5.08,0.93,16.4,Black Cotton,27.5,49,37.7,0.1,406.9,4.48,Tobacco
Bihar,Bhojpur,191.1,28.2,46.4,5.24,1.09,16.6,Laterite,30.5,61,0.0,1.63,400.8,1.71,Soybean
Rajasthan,Rajsamand,186.4,17.5,55.9,6.04,0.55,17.3,Sandy,26.9,64,239.5,0.5,568.1,2.74,Rice
Rajasthan,Churu,203.7,15.5,194.4,5.87,1.03,12.0,Sandy,29.6,48,142.9,1.84,468.4,1.56,Bengal Gram
Bihar,Kishanganj,82.9,32.2,142.0,7.12,0.4,19.0,Loamy,27.0,61,59.5,1.64,321.9,2.83,Rice
West Bengal,Darjeeling,254.1,17.8,257.0,6.09,0.9,16.6,Black Cotton,27.8,53,65.3,0.19,499.8,1.7,Sugarcane
Maharashtra,Solapur,211.4,16.6,135.4,6.38,1.05,24.6,Clayey,30.3,15,52.4,0.63,175.8,3.12,Banana
Karnataka,Mysuru,322.1,25.9,184.2,6.99,0.73,31.0,Clayey,22.8,35,147.9,1.15,449.7,2.04,Tobacco
Tamil Nadu,Virudhunagar,281.2,31.1,198.1,6.52,1.04,26.0,Black Cotton,25.0,62,71.3,1.14,348.5,4.2,Tobacco
West Bengal,Purba Medinipur,221.9,21.6,166.6,6.85,0.6,52.0,Silty,26.2,58,275.0,0.1,682.1,3.11,Tomato
Bihar,Rohtas,276.0,10.6,105.0,6.56,0.9,30.3,Red Soil,23.2,89,62.4,0.7,297.4,1.36,Onion
Punjab,SBS Nagar,188.0,18.1,105.9,6.45,0.81,25.2,Laterite,21.9,76,50.2,0.74,365.5,1.74,Sugarcane
Uttar Pradesh,Saharanpur,284.1,25.8,89.7,6.83,0.59,8.9,Loamy,25.5,80,159.0,1.2,400.0,2.53,Toor
Tamil Nadu,Tiruchirappalli,234.4,28.6,69.7,6.68,0.99,20.8,Clayey,22.0,59,210.5,1.99,398.6,1.46,Moong
Tamil Nadu,Chennai,202.3,18.8,202.8,6.28,0.99,28.7,Silty,26.6,43,168.1,0.55,447.4,2.94,Sunflower
Bihar,Purnia,323.8,19.3,165.0,6.45,1.11,22.4,Sandy,32.1,58,22.6,1.68,413.4,3.74,Bajra
Tamil Nadu,Thoothukudi,40.9,1.0,107.5,6.73,0.11,20.0,Clayey,24.9,85,65.3,1.47,467.0,0.44,Wheat
Andhra Pradesh,Nandyal,295.6,19.3,170.0,6.35,1.02,18.9,Loamy,26.5,74,205.6,0.83,685.2,3.38,Ragi
Karnataka,Raichur,227.3,23.9,204.1,6.71,0.92,32.8,Silty,19.9,60,127.5,1.49,429.5,3.19,Soybean
Rajasthan,Jaipur,212.3,32.7,139.8,7.16,0.47,39.0,Clayey,23.6,75,22.2,1.63,334.5,4.24,Sugarcane
Maharashtra,Satara,235.9,14.6,154.9,6.31,0.83,31.6,Laterite,33.3,38,292.0,0.17,431.8,3.71,Rice
Maharashtra,Beed,286.0,27.3,241.4,6.51,0.97,21.9,Black Cotton,28.3,58,108.7,1.62,351.8,5.51,Rice
Rajasthan,Rajsamand,242.8,19.7,145.5,6.37,0.86,12.0,Black Cotton,30.2,44,77.5,1.43,338.7,0.64,Soybean
